"title","speaker","scripture","date","videoURL","audioURL"
"The Secret Places","Pastor Walter T. Branch","John 20:19-23","2016-04-03T10:30:00","https://gwc-s3.s3.amazonaws.com/9614/8518/7317/04-03-161.mp4","https://gwc-s3.s3.amazonaws.com/7014/8518/7252/04-03-16_audio1.mp3"
"It's Not Over","Pastor Walter T. Branch","Genesis 3:14-18","2014-08-17T10:30:00","https://gwc-s3.s3.amazonaws.com/4814/8518/7435/08.17.14am.mp4","https://gwc-s3.s3.amazonaws.com/7514/8518/7289/08.17.14_audio1.mp3"
"The Seat of Authority","Pastor Walter T. Branch","Matthew 28:18-20","2014-08-10T10:30:00","https://gwc-s3.s3.amazonaws.com/4514/8518/7431/08.10.14am.mp4","https://gwc-s3.s3.amazonaws.com/6214/8518/7287/08.10.14am_audio.mp3"
"I Long for the Day","Pastor Walter T. Branch","Genesis 1:1-2","2014-07-27T10:30:00","https://gwc-s3.s3.amazonaws.com/8114/8518/7411/07.27.14am.mp4","https://gwc-s3.s3.amazonaws.com/3014/8518/7281/07.27.14am_audio.mp3"
"The Power of Relationships","Pastor Walter Branch","Luke 5:1-10","2012-09-16T10:30:00","https://gwc-s3.s3.amazonaws.com/8215/5511/0008/09-16-2012.mp4","https://gwc-s3.s3.amazonaws.com/1915/5511/0007/09-16-2012.mp3"
"Stir Up the Gift in You","Pastor Walter Branch","2 Timothy 1:6-8","2012-08-12T18:44:00","https://gwc-s3.s3.amazonaws.com/3015/5515/5809/08-12-2012.mp4","https://gwc-s3.s3.amazonaws.com/4715/5515/5808/08-12-2012.mp3"
"Blow a Trumpet in Zion","Pastor Walter Branch","Romans 13:11-14","2012-08-05T22:30:00","https://gwc-s3.s3.amazonaws.com/9815/5515/5813/08-05-2012.mp4","https://gwc-s3.s3.amazonaws.com/1715/5515/5812/08-05-2012.mp3"
"God Sets Memorials","Pastor Walter T. Branch","Joshua 4:9","2012-05-27T10:30:00","https://gwc-s3.s3.amazonaws.com/5214/8518/7370/05-27-2012am1.mp4","https://gwc-s3.s3.amazonaws.com/1014/8518/7267/05-27-2012am_audio.mp3"
"Gifts You Have Not Noticed","Pastor Walter T. Branch","1 Corinthians 12:1-3","2012-05-20T22:30:00","https://gwc-s3.s3.amazonaws.com/8614/8518/7370/05-20-2012pm.mp4","https://gwc-s3.s3.amazonaws.com/2114/8518/7266/05-20-2012pm_audio.mp3"
"Ignorance is Not Bliss","Pastor Walter T. Branch","Romans 1:13-17","2012-05-20T10:30:00","https://gwc-s3.s3.amazonaws.com/8114/8518/7367/05-20-2012am.mp4","https://gwc-s3.s3.amazonaws.com/2714/8518/7263/05-20-2012am_audio.mp3"
"How to Deal With a Fool Without Becoming One","Pastor Walter T. Branch","1 Samuel 25:1-3","2012-05-13T10:30:00","https://gwc-s3.s3.amazonaws.com/5914/8518/7357/05-13-2012am.mp4","https://gwc-s3.s3.amazonaws.com/4414/8518/7261/05-13-2012am_audio.mp3"
"The Present Power of God","Pastor Walter T. Branch","Luke 5:17-26","2012-05-06T22:30:00","https://gwc-s3.s3.amazonaws.com/9214/8518/7350/05-06-2012pm.mp4","https://gwc-s3.s3.amazonaws.com/2114/8518/7259/05-06-2012pm_audio.mp3"
